City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Komsomolskiy,UZ,86.72,clear sky,40.4272,71.7189,Ikathouse
1,Fredonia,US,73.06,overcast clouds,42.4401,-79.3317,Best Western Dunkirk & Fredonia Inn
2,Guerrero Negro,MX,68.05,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
5,Cidreira,BR,66.34,overcast clouds,-30.1811,-50.2056,Hotel Castelo
6,Khatanga,RU,57.61,overcast clouds,71.9667,102.5,"""Khatanga"""
8,Ucluelet,CA,58.08,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
9,Vaini,TO,71.76,few clouds,-21.2,-175.2,Keleti Beach Resort
10,Coquimbo,CL,55.13,clear sky,-29.9533,-71.3436,Hotel San Juan
11,Richards Bay,ZA,68.74,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
13,Hervey Bay,AU,54.01,clear sky,-25.2986,152.8535,Shelly Bay Resort
15,Ahipara,NZ,56.19,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
17,Tiarei,PF,73.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
19,Bethel,US,84.9,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
20,Santa Cruz Cabralia,BR,79.03,scattered clouds,-16.2781,-39.0247,Puerto Princesa Inn
21,Tautira,PF,78.13,light rain,-17.7333,-149.15,Pension Oaoa
23,Puerto Ayora,EC,75.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
24,Prata,BR,81.03,clear sky,-19.3072,-48.9242,Hotel Pontal Aluga-se Quitinetes e suítes mensalmente
26,Guipavas,FR,73.45,broken clouds,48.4352,-4.3972,Brit Hotel Brest Le Relecq-Kerhuon
28,Karratha,AU,63.52,clear sky,-20.7377,116.8463,ibis Styles Karratha
30,Boende,CD,82.83,overcast clouds,-0.2167,20.8667,
31,Rikitea,PF,74.73,clear sky,-23.1203,-134.9692,People ThankYou
32,Yayva,RU,69.17,light rain,59.3303,57.2641,Usad'ba
33,Bandarbeyla,SO,78.91,clear sky,9.4942,50.8122,JABIR HOTEL
